,age_years,weight_kg,days_in_shelter,previously_returned,neutered,aggression_score,anxiety_separation,reactivity_to_dogs,energy_level,training_level,house_trained,first_time_owner,household_has_kids,household_has_pets,has_yard,hours_alone_per_day,adopter_activity_level,visits_before_adoption,met_resident_pets,adoption_counseling,expectation_score,energy_mismatch,size_home_mismatch,size_large,size_medium,size_small,size_xlarge,breed_group_herding,breed_group_hound,breed_group_mixed,breed_group_sporting,breed_group_terrier,breed_group_toy,breed_group_working,intake_type_born_in_care,intake_type_owner_surrender,intake_type_stray,intake_type_transfer,medical_needs_chronic,medical_needs_minor,medical_needs_none,home_type_apartment,home_type_house_owned,home_type_house_rented
12514,2.3,27.2,82,0,1,5.6,4.3,2.1,3.4,1.5,0,0,0,1,0,2.0,4.1,2,1,0,2.7,0.7,1,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False
13069,4.0,40.4,6,0,1,3.3,2.2,4.4,5.0,6.2,0,1,1,1,0,1.6,4.0,1,0,0,7.4,1.0,1,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False
15808,1.0,16.0,72,1,1,4.2,2.3,6.4,8.1,5.4,0,0,0,1,0,2.8,6.1,1,0,1,8.7,2.0,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False
8336,2.0,31.8,21,0,1,2.1,3.4,2.7,6.1,3.1,0,1,0,0,0,0.3,8.4,2,0,1,6.2,2.3,1,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False
9839,6.7,7.9,74,0,1,2.3,3.2,7.0,3.4,4.7,1,0,1,1,1,5.7,6.7,1,0,0,7.6,3.3,0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
13902,7.1,29.0,14,1,1,1.8,5.0,5.1,8.7,8.1,0,0,1,0,1,9.7,6.8,1,0,0,7.7,1.9,0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False
10667,1.3,19.8,82,0,1,5.5,5.2,3.4,6.4,4.1,0,1,0,0,1,8.2,1.5,3,0,0,5.7,4.9,0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
31733,8.2,7.0,23,0,1,2.0,0.4,0.0,5.0,3.5,1,1,0,1,0,1.4,6.7,1,1,0,8.7,1.7,0,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
16893,3.5,25.3,39,0,1,4.6,5.9,0.2,5.6,2.3,1,0,0,1,1,6.7,5.1,3,0,0,7.8,0.5,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
21901,6.5,7.3,42,0,1,2.2,5.2,0.0,2.9,6.1,0,0,0,0,0,4.2,5.4,2,0,0,5.8,2.5,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False
2004,6.9,20.5,65,0,1,2.4,3.2,1.4,8.7,4.7,1,0,0,0,0,9.5,3.0,4,0,1,5.3,5.7,0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False
17604,3.1,33.3,18,0,1,2.6,4.3,4.3,6.3,6.6,1,0,0,1,1,6.1,4.0,1,0,0,6.9,2.3,0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
28337,7.7,15.8,14,0,1,3.4,0.3,3.1,8.6,3.9,1,0,1,0,0,8.6,7.8,1,0,0,6.6,0.8,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
18130,5.2,19.9,70,0,1,1.2,1.8,1.5,6.3,4.4,0,0,0,0,1,0.4,6.1,1,0,0,6.5,0.2,0,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
6650,0.4,10.2,30,0,1,2.8,1.8,0.6,5.1,4.1,0,1,0,0,1,4.3,6.7,1,0,1,9.1,1.6,0,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False
19389,4.9,30.6,22,0,1,4.1,10.0,3.5,5.6,4.4,0,0,0,0,0,3.9,6.1,2,0,1,5.5,0.5,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False
18328,2.3,26.6,18,0,1,0.5,0.0,3.9,4.0,0.1,0,0,0,0,0,4.7,6.4,1,0,0,7.9,2.4,0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False
