,age_years,size,weight_kg,breed_group,intake_type,days_in_shelter,previously_returned,medical_needs,neutered,aggression_score,anxiety_separation,reactivity_to_dogs,energy_level,training_level,house_trained,first_time_owner,household_has_kids,household_has_pets,home_type,has_yard,hours_alone_per_day,adopter_activity_level,visits_before_adoption,met_resident_pets,adoption_counseling,expectation_score,energy_mismatch,size_home_mismatch
12514,2.3,large,27.2,hound,stray,82,0,none,1,5.6,4.3,2.1,3.4,1.5,0,0,0,1,apartment,0,2.0,4.1,2,1,0,2.7,0.7,1
13069,4.0,xlarge,40.4,mixed,stray,6,0,none,1,3.3,2.2,4.4,5.0,6.2,0,1,1,1,apartment,0,1.6,4.0,1,0,0,7.4,1.0,1
15808,1.0,medium,16.0,hound,transfer,72,1,none,1,4.2,2.3,6.4,8.1,5.4,0,0,0,1,apartment,0,2.8,6.1,1,0,1,8.7,2.0,0
8336,2.0,large,31.8,terrier,stray,21,0,none,1,2.1,3.4,2.7,6.1,3.1,0,1,0,0,apartment,0,0.3,8.4,2,0,1,6.2,2.3,1
9839,6.7,small,7.9,hound,stray,74,0,none,1,2.3,3.2,7.0,3.4,4.7,1,0,1,1,house_rented,1,5.7,6.7,1,0,0,7.6,3.3,0
13902,7.1,large,29.0,working,owner_surrender,14,1,none,1,1.8,5.0,5.1,8.7,8.1,0,0,1,0,house_owned,1,9.7,6.8,1,0,0,7.7,1.9,0
10667,1.3,medium,19.8,mixed,stray,82,0,none,1,5.5,5.2,3.4,6.4,4.1,0,1,0,0,house_owned,1,8.2,1.5,3,0,0,5.7,4.9,0
31733,8.2,small,7.0,hound,owner_surrender,23,0,minor,1,2.0,0.4,0.0,5.0,3.5,1,1,0,1,apartment,0,1.4,6.7,1,1,0,8.7,1.7,0
16893,3.5,large,25.3,hound,transfer,39,0,none,1,4.6,5.9,0.2,5.6,2.3,1,0,0,1,house_rented,1,6.7,5.1,3,0,0,7.8,0.5,0
21901,6.5,small,7.3,working,transfer,42,0,none,1,2.2,5.2,0.0,2.9,6.1,0,0,0,0,apartment,0,4.2,5.4,2,0,0,5.8,2.5,0
2004,6.9,medium,20.5,working,owner_surrender,65,0,none,1,2.4,3.2,1.4,8.7,4.7,1,0,0,0,house_owned,0,9.5,3.0,4,0,1,5.3,5.7,0
17604,3.1,large,33.3,terrier,stray,18,0,minor,1,2.6,4.3,4.3,6.3,6.6,1,0,0,1,house_rented,1,6.1,4.0,1,0,0,6.9,2.3,0
28337,7.7,medium,15.8,working,transfer,14,0,none,1,3.4,0.3,3.1,8.6,3.9,1,0,1,0,house_rented,0,8.6,7.8,1,0,0,6.6,0.8,0
18130,5.2,medium,19.9,toy,stray,70,0,none,1,1.2,1.8,1.5,6.3,4.4,0,0,0,0,house_rented,1,0.4,6.1,1,0,0,6.5,0.2,0
6650,0.4,small,10.2,mixed,born_in_care,30,0,minor,1,2.8,1.8,0.6,5.1,4.1,0,1,0,0,house_owned,1,4.3,6.7,1,0,1,9.1,1.6,0
19389,4.9,large,30.6,terrier,transfer,22,0,none,1,4.1,10.0,3.5,5.6,4.4,0,0,0,0,apartment,0,3.9,6.1,2,0,1,5.5,0.5,1
18328,2.3,large,26.6,herding,owner_surrender,18,0,minor,1,0.5,0.0,3.9,4.0,0.1,0,0,0,0,house_owned,0,4.7,6.4,1,0,0,7.9,2.4,0
24973,1.1,small,7.6,toy,owner_surrender,18,0,none,1,2.5,0.6,1.8,5.0,1.9,0,0,0,0,house_owned,1,2.6,6.3,3,0,0,5.3,1.3,0
26695,3.3,medium,14.1,herding,stray,59,0,none,1,2.7,1.0,5.1,5.3,7.2,1,1,1,1,house_owned,1,6.3,4.2,2,0,0,5.7,1.1,0
39288,7.0,large,31.3,sporting,owner_surrender,61,0,none,1,2.1,2.2,9.0,6.3,2.6,1,0,1,0,house_rented,1,8.0,4.5,4,0,1,5.8,1.8,0
29120,3.0,small,6.8,terrier,stray,11,0,none,1,0.2,2.2,3.1,8.0,1.1,1,0,1,1,house_owned,1,3.7,2.5,1,1,1,4.5,5.5,0
