adoption_id,age_years,size,weight_kg,breed_group,intake_type,days_in_shelter,previously_returned,medical_needs,neutered,aggression_score,anxiety_separation,reactivity_to_dogs,energy_level,training_level,house_trained,first_time_owner,household_has_kids,household_has_pets,home_type,has_yard,hours_alone_per_day,adopter_activity_level,visits_before_adoption,met_resident_pets,adoption_counseling,expectation_score,energy_mismatch,size_home_mismatch,return_reason,days_to_return,returned
ADP000000,2.6,small,7.2,mixed,stray,51,0,none,1,1.5,8.8,0.0,4.0,5.6,1,0,1,0,house_rented,1,6.7,2.6,1,0,0,7.3,1.4,0,kept,,0
ADP000001,5.4,large,27.9,sporting,stray,38,1,none,1,4.8,5.2,3.5,8.0,2.6,1,0,1,0,house_owned,1,8.0,3.8,1,0,0,6.2,4.2,0,kept,,0
ADP000002,3.5,medium,15.4,mixed,owner_surrender,14,0,none,1,1.3,7.2,8.8,4.6,3.4,0,1,0,0,house_owned,0,6.9,1.1,1,0,0,8.1,3.5,0,kept,,0
ADP000003,7.3,medium,23.2,working,stray,9,0,none,1,0.0,3.5,2.1,8.6,6.8,0,0,0,1,apartment,0,0.0,7.8,3,0,1,10.0,0.8,0,unmet_expectations,4.5,1
ADP000004,0.7,medium,16.2,mixed,stray,35,1,minor,1,4.2,2.7,0.8,10.0,0.0,0,0,0,0,apartment,0,3.0,3.6,1,0,0,7.9,6.4,0,aggression,12.9,1
ADP000005,4.9,medium,14.5,working,stray,44,0,none,1,1.1,0.9,6.7,6.5,2.8,0,1,1,1,house_owned,1,6.5,6.1,2,1,1,6.6,0.4,0,kept,,0
ADP000006,6.8,medium,19.4,herding,stray,27,0,none,1,1.2,4.7,4.4,5.8,3.5,1,1,0,0,house_owned,0,3.9,5.1,3,0,0,5.0,0.7,0,kept,,0
ADP000007,4.7,large,30.6,working,owner_surrender,7,0,none,1,0.9,1.8,0.4,6.3,6.0,0,1,1,0,house_owned,1,7.6,5.6,1,0,0,5.2,0.7,0,kept,,0
ADP000008,4.4,large,25.2,mixed,stray,20,0,none,1,4.8,2.6,0.0,9.4,2.0,0,0,0,1,apartment,0,8.0,3.5,1,0,0,8.2,5.9,1,kept,,0
ADP000009,4.9,small,8.7,terrier,stray,40,0,minor,1,3.9,0.4,3.2,4.7,3.8,0,1,0,1,apartment,0,10.2,5.0,1,0,0,5.2,0.3,0,kept,,0
ADP000010,2.6,small,7.1,working,owner_surrender,37,0,minor,1,1.9,1.1,3.7,7.0,7.0,1,0,0,0,house_owned,1,2.6,7.2,3,0,0,5.7,0.2,0,kept,,0
ADP000011,5.8,small,6.0,toy,stray,13,0,minor,1,0.6,8.1,6.4,2.4,0.4,0,0,0,0,house_rented,1,8.3,5.1,4,0,1,5.2,2.7,0,kept,,0
ADP000012,5.3,small,4.6,hound,owner_surrender,29,0,none,1,3.6,5.1,0.8,5.0,3.0,0,0,0,0,house_owned,1,5.4,2.5,4,0,0,10.0,2.5,0,kept,,0
ADP000013,3.9,small,7.8,hound,owner_surrender,44,0,none,1,0.3,7.1,2.4,7.4,5.5,1,1,0,0,house_rented,0,7.9,5.0,1,0,1,7.6,2.4,0,kept,,0
ADP000014,1.8,small,5.4,herding,owner_surrender,14,0,none,1,2.1,5.4,2.1,4.0,7.4,1,0,1,1,house_rented,1,7.7,7.2,1,1,0,7.2,3.2,0,kept,,0
ADP000015,5.0,large,28.9,mixed,owner_surrender,21,0,none,1,2.4,1.8,0.3,2.7,7.2,0,1,0,0,apartment,0,9.6,8.5,1,0,0,8.9,5.8,1,unmet_expectations,78.5,1
ADP000016,10.5,medium,14.4,mixed,owner_surrender,36,0,minor,1,3.6,4.6,5.0,7.9,4.8,1,0,1,0,apartment,0,4.2,6.6,1,0,0,4.3,1.3,0,kept,,0
ADP000017,8.4,medium,17.4,terrier,stray,1,1,minor,1,0.9,0.9,1.8,4.5,9.8,1,0,1,0,house_owned,1,4.1,4.6,1,0,0,5.2,0.1,0,kept,,0
