,age_years,weight_kg,days_in_shelter,previously_returned,neutered,aggression_score,anxiety_separation,reactivity_to_dogs,energy_level,training_level,house_trained,first_time_owner,household_has_kids,household_has_pets,has_yard,hours_alone_per_day,adopter_activity_level,visits_before_adoption,met_resident_pets,adoption_counseling,expectation_score,energy_mismatch,size_home_mismatch,size_large,size_medium,size_small,size_xlarge,breed_group_herding,breed_group_hound,breed_group_mixed,breed_group_sporting,breed_group_terrier,breed_group_toy,breed_group_working,intake_type_born_in_care,intake_type_owner_surrender,intake_type_stray,intake_type_transfer,medical_needs_chronic,medical_needs_minor,medical_needs_none,home_type_apartment,home_type_house_owned,home_type_house_rented
1597,0.8,6.9,31,0,1,0.3,2.7,3.1,8.3,8.0,0,0,0,0,0,1.6,7.0,2,0,0,7.5,1.3,0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False
34590,4.2,9.2,39,1,0,0.9,5.2,1.3,8.5,6.8,1,0,1,0,1,9.5,4.9,1,0,1,7.8,3.6,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False
29398,0.3,16.0,23,0,1,2.1,0.9,3.4,5.4,5.5,1,1,1,0,1,3.1,5.4,2,0,1,5.6,0.0,0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False
29004,2.5,40.5,43,0,1,0.0,2.0,0.1,3.9,9.5,0,0,0,0,1,6.5,6.3,1,0,0,6.2,2.4,0,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
377,1.8,13.9,20,0,1,3.4,8.2,3.5,6.0,5.3,0,1,0,0,0,1.2,6.9,1,0,0,6.4,0.9,0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
8977,2.2,6.9,16,1,1,1.6,7.4,3.2,3.0,4.5,0,1,0,0,1,9.9,4.9,1,0,0,4.9,1.9,0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
32597,2.4,5.4,52,0,1,0.8,5.1,1.2,4.9,6.0,1,0,1,0,1,11.8,2.7,1,0,0,7.4,2.2,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False
18339,6.0,46.9,87,1,1,2.6,5.5,1.8,7.6,4.6,0,1,1,1,1,3.7,5.8,2,0,0,4.8,1.8,0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True
34883,1.4,7.7,15,0,1,0.7,2.1,2.3,5.9,6.4,1,1,1,0,0,8.0,7.5,2,0,1,8.2,1.6,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False
20812,6.0,7.3,5,1,1,6.4,0.1,5.7,1.6,1.7,0,0,0,1,0,6.5,7.5,2,0,0,6.3,5.9,0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False
9440,2.5,6.8,4,0,1,4.9,3.9,3.1,7.4,3.2,0,1,0,1,1,1.6,5.7,1,0,1,5.5,1.7,0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
37617,1.7,33.9,20,0,1,3.4,3.1,1.2,3.5,5.1,0,0,0,0,0,7.5,7.0,2,0,1,7.4,3.5,1,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False
23287,11.4,27.0,11,1,1,0.9,2.8,4.5,5.6,0.4,0,0,1,0,1,3.0,7.9,2,0,1,8.3,2.3,0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False
10759,4.3,21.4,60,0,1,3.9,6.0,1.8,5.6,7.1,1,1,1,0,1,9.8,4.9,3,0,0,5.3,0.7,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
37385,4.5,51.9,18,0,1,6.3,1.9,4.4,7.1,1.1,0,0,0,0,0,4.5,9.3,2,0,0,6.2,2.2,0,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False
21680,3.6,14.1,41,0,1,3.7,6.5,5.7,6.1,0.4,1,0,1,1,1,7.2,4.6,2,0,0,7.1,1.5,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
9096,3.2,7.0,42,1,1,1.7,5.2,3.4,3.3,0.0,0,0,0,0,1,3.5,4.4,3,0,0,6.1,1.1,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True
433,1.5,31.1,32,0,1,0.0,7.7,0.1,6.7,8.0,0,0,0,0,1,12.5,0.0,1,0,0,5.4,6.7,0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False
20068,6.6,29.6,43,0,1,0.0,1.3,5.7,6.3,7.1,0,1,0,0,1,5.1,2.1,3,0,0,7.2,4.2,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False
22869,4.9,13.1,26,0,1,3.4,5.3,0.7,3.9,7.3,1,1,0,1,1,11.1,7.3,2,1,0,5.5,3.4,0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False
30170,11.3,29.7,94,0,1,3.6,3.4,3.7,8.1,4.4,0,1,0,0,1,9.5,6.7,1,0,1,7.6,1.4,0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False
30575,0.5,32.5,39,0,1,0.0,7.0,2.8,7.7,4.4,0,1,1,1,1,5.3,5.9,1,0,0,3.5,1.8,0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True
41644,2.9,6.6,25,0,1,3.2,4.4,4.5,4.7,0.0,1,1,0,1,0,5.9,7.9,1,1,0,5.6,3.2,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False
26737,3.5,27.7,63,0,1,1.0,5.9,1.5,5.5,7.6,0,0,0,0,1,6.7,7.6,1,0,1,7.4,2.1,0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True
34745,1.3,29.7,7,0,1,4.2,5.6,0.2,6.3,5.2,0,0,1,1,1,7.1,6.2,1,0,0,7.4,0.1,0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
18111,4.6,35.9,82,0,1,2.7,7.5,5.1,4.9,7.0,0,0,0,1,0,7.1,5.6,2,0,1,6.2,0.7,1,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False
6849,7.7,8.1,54,0,1,3.9,7.1,5.3,6.6,4.2,1,1,0,1,1,5.6,4.1,2,0,0,9.4,2.5,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False
35304,4.3,25.7,39,0,1,0.1,1.2,6.4,5.2,5.7,1,0,1,1,1,0.0,3.6,1,0,0,8.3,1.6,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False
18157,5.3,23.7,87,0,1,3.4,6.1,0.0,4.7,5.3,0,1,0,1,0,4.6,3.8,1,0,1,6.6,0.9,0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False
