,7
Unnamed: 0,31733
age_years,8.2
size,small
weight_kg,7.0
breed_group,hound
intake_type,owner_surrender
days_in_shelter,23
previously_returned,0
medical_needs,minor
neutered,1
aggression_score,2.0
anxiety_separation,0.4
reactivity_to_dogs,0.0
energy_level,5.0
training_level,3.5
house_trained,1
first_time_owner,1
household_has_kids,0
household_has_pets,1
home_type,apartment
has_yard,0
hours_alone_per_day,1.4
adopter_activity_level,6.7
visits_before_adoption,1
met_resident_pets,1
adoption_counseling,0
expectation_score,8.7
energy_mismatch,1.7
size_home_mismatch,0
